source,stop_id,name,street,cross_street,municipality,status,lon,lat
GRT,12809,Huron Rd at Parkvale Dr,Huron Rd,Parkvale Dr,Kitchener,Active,-80.471627,43.389173
GRT,12581,Queen St W at Winston Blvd,Queen St W,Winston Blvd,Cambridge,Active,-80.31850803,43.42764195
GRT,13706,Scott St at Duke St E (Temporary Stop),Scott St,Duke St E (Temporary Stop),Kitchener,Detour,-80.485221,43.449811
GRT,11135,Northfield Dr E at Wissler Rd,Northfield Dr E,Wissler Rd,Waterloo,Active,-80.52586696,43.50511196
GRT,11238,George St at James St,George St,James St,Cambridge,Active,-80.32085304,43.36657204
GRT,13888,Fischer-Hallman Rd at Rockwood Rd,Fischer-Hallman Rd,Rockwood Rd,Kitchener,Active,-80.49733109,43.40408543
GRT,11060,Bridge St W at Woolwich St,Bridge St W,Woolwich St,Kitchener,Active,-80.48439803,43.48279498
GRT,10206,Northfield Dr W at Parkside Dr,Northfield Dr W,Parkside Dr,Waterloo,Active,-80.54620997,43.49694799
GRT,10550,Ainslie Terminal at Stop 1522,Ainslie Terminal,Stop 1522,Cambridge,Active,-80.313486,43.35696499
GRT,10776,Pioneer Dr at Old Carriage Dr,Pioneer Dr,Old Carriage Dr,Kitchener,Active,-80.43366202,43.39428504
GRT,12802,Bridge St W at Lexington Rd,Bridge St W,Lexington Rd,Waterloo,Active,-80.503567,43.49813296
GRT,10499,Ainslie St N at Simcoe St,Ainslie St N,Simcoe St,Cambridge,Active,-80.31456294,43.36556502
GRT,10568,Franklin Blvd at Avenue Rd,Franklin Blvd,Avenue Rd,Cambridge,Active,-80.2983896,43.37916147
GRT,10560,Savage Dr at Dobbie Dr,Savage Dr,Dobbie Dr,Cambridge,Active,-80.28574599,43.36658801
GRT,10613,King St E at Eagle St S,King St E,Eagle St S,Cambridge,Active,-80.36368128,43.39852176
GRT,13108,Thompson Dr at Pinebush Rd,Thompson Dr,Pinebush Rd,Cambridge,Active,-80.2855983,43.41215385
GRT,13267,King St N at High Crest Lane W,King St N,High Crest Lane W,Woolwich,Active,-80.554343,43.535182
GRT,12023,Wilderness Dr at Pine Martin Cres,Wilderness Dr,Pine Martin Cres,Kitchener,Active,-80.513898,43.41061702
GRT,13871,Woodbine Ave at Maitland St,Woodbine Ave,Maitland St,Kitchener,Active,-80.48406813,43.38611787
GRT,13430,Victoria St N at Margaret Ave,Victoria St N,Margaret Ave,Kitchener,Active,-80.488844,43.45655
GRT,12787,Columbia St E at Marsland Dr,Columbia St E,Marsland Dr,Waterloo,Active,-80.519865,43.484378
GRT,12002,Rittenhouse Rd at Erinbrook Dr,Rittenhouse Rd,Erinbrook Dr,Kitchener,Active,-80.48460504,43.40957697
GRT,13201,Columbia St W at Salzburg Dr,Columbia St W,Salzburg Dr,Waterloo,Active,-80.582848,43.460369
GRT,11645,Connaught St at Fourth Ave,Connaught St,Fourth Ave,Kitchener,Active,-80.45400804,43.43105501
GRT,11500,Wellington St N at St Leger St,Wellington St N,St Leger St,Kitchener,Active,-80.48681803,43.45982998
GRT,10689,Morgan Ave at Greendale Cres,Morgan Ave,Greendale Cres,Kitchener,Active,-80.42474668,43.42733007
GRT,13912,Robert Ferrie Dr at Blair Creek Dr,Robert Ferrie Dr,Blair Creek Dr,Kitchener,Active,-80.42286841,43.37448263
GRT,12664,New Bedford Dr at Starboard Cres,New Bedford Dr,Starboard Cres,Waterloo,Active,-80.50429002,43.51061195
GRT,12854,First St W at Snyder Ave S,First St W,Snyder Ave S,Woolwich,Active,-80.56337436,43.59234043
GRT,10827,Trillium Dr at Shoemaker St,Trillium Dr,Shoemaker St,Kitchener,Active,-80.46623503,43.40172697
GRT,10109,Columbia St W at Cavendish Dr,Columbia St W,Cavendish Dr,Waterloo,Active,-80.57678296,43.46401
GRT,11399,Victoria St N at Forfar Ave,Victoria St N,Forfar Ave,Kitchener,Active,-80.45447995,43.46736301
GRT,12317,Westwood Dr at Westwood Cres,Westwood Dr,Westwood Cres,Kitchener,Active,-80.52958199,43.44513804
GRT,12116,Hoffman St at Highland Rd E,Hoffman St,Highland Rd E,Kitchener,Active,-80.48708202,43.43055897
GRT,12954,Belmont Ave W at Glasglow St,Belmont Ave W,Glasglow St,Kitchener,Active,-80.51720006,43.45198053
GRT,12928,Bishop St N at 690 Bishop St N,Bishop St N,690 Bishop St N,Cambridge,Active,-80.33654655,43.39301873
GRT,13670,Activa Ave at Grey Fox Dr,Activa Ave,Grey Fox Dr,Kitchener,Active,-80.508928,43.413217
GRT,13805,Ottawa St S at Mill St,Ottawa St S,Mill St,Kitchener,Active,-80.478631,43.433962
GRT,10853,Black Walnut Dr at Biehn Dr,Black Walnut Dr,Biehn Dr,Kitchener,Active,-80.45514795,43.393135
GRT,10155,Cedarbrae Ave at Heasley Park Trail,Cedarbrae Ave,Heasley Park Trail,Waterloo,Active,-80.55008486,43.4879488
GRT,12186,Hazelglen Dr at Chopin Dr,Hazelglen Dr,Chopin Dr,Kitchener,Active,-80.52419501,43.43862699
