cross_street,direction,lat,lon,municipality,name,phase,source,stage1,stage2,status,stop_id,street
Longwood Dr,,43.49053498,-80.53949698,Waterloo,Albert St at Longwood Dr,,GRT,,,Active,10161,Albert St
481 Park St,,43.45578699,-80.513562,Kitchener,Park St at 481 Park St,,GRT,,,Active,12306,Park St
Albert St,,43.48572898,-80.53908696,Waterloo,Hazel St at Albert St,,GRT,,,Active,10163,Hazel St
Conestoga Station,,43.498127,-80.529573,Waterloo,King St N at Conestoga Station,,GRT,,,Active,13785,King St N
Regina St N,,43.47666997,-80.52327803,Waterloo,University Ave E at Regina St N,,GRT,,,Active,11842,University Ave E
Dearborn Blvd,,43.48998301,-80.51695004,Waterloo,Lexington Rd at Dearborn Blvd,,GRT,,,Active,12763,Lexington Rd
Allen St,,43.460267,-80.519378,Waterloo,King St S at Allen St,,GRT,,,Active,11590,King St S
ION platform - Southbound,,43.481604,-80.545184,Waterloo,Research & Technology Station at ION platform - Southbound,,GRT,,,Active,13377,Research & Technology Station
Westforest Trail,,43.431715,-80.543974,Kitchener,Victoria St S at Westforest Trail,,GRT,,,Active,13575,Victoria St S
Adelaid St,,43.44503696,-80.51296499,Kitchener,Belmont Ave W at Adelaid St,,GRT,,,Active,11750,Belmont Ave W
Columbia St W,,43.475116,-80.546436,Waterloo,Hagey Blvd at Columbia St W,,GRT,,,Active,13248,Hagey Blvd
Chopin Dr,,43.440218,-80.526495,Kitchener,Hazelglen Dr at Chopin Dr,,GRT,,,Active,12179,Hazelglen Dr
Stop 1128,,43.49807601,-80.52883004,Waterloo,Conestoga Station at Stop 1128,,GRT,,,Active,10133,Conestoga Station
Hazel St,,43.47513,-80.52755001,Waterloo,University Ave W at Hazel St,,GRT,,,Active,13009,University Ave W
ION platform - Northbound,,43.464142,-80.523,Waterloo,Waterloo Public Square Station at ION platform - Northbound,,GRT,,,Active,13384,Waterloo Public Square Station
Dunbar Rd,,43.45052004,-80.52072,Kitchener,Glasgow St at Dunbar Rd,,GRT,,,Active,12339,Glasgow St
Peppler St,,43.468115,-80.52024703,Waterloo,Bridgeport Rd E at Peppler St,,GRT,,,Active,10990,Bridgeport Rd E
Union St W,,43.45827097,-80.51523804,Waterloo,King St S at Union St W,,GRT,,,Active,11592,King St S
Fischer-Hallman Rd N,,43.46791,-80.565832,Waterloo,Columbia St W at Fischer-Hallman Rd N,,GRT,,,Active,13266,Columbia St W
Willis Way,,43.464641,-80.522084,Waterloo,King St N at Willis Way,,GRT,,,Active,10941,King St N
University Ave W,,43.46386296,-80.54061804,Waterloo,Westmount Rd N at University Ave W,,GRT,,,Active,11733,Westmount Rd N
Columbia St E,,43.481803,-80.52600696,Waterloo,King St N at Columbia St E,,GRT,,,Active,10949,King St N
Davenport Rd,,43.49300503,-80.51238702,Waterloo,Lexington Rd at Davenport Rd,,GRT,,,Active,11873,Lexington Rd
Allen St,,43.460277,-80.518881,Waterloo,King St S at Allen St,,GRT,,,Active,10938,King St S
Westmount Rd W,,43.43964995,-80.52029695,Kitchener,Victoria St S at Westmount Rd W,,GRT,,,Active,12280,Victoria St S
344 Glasgow St,,43.45057,-80.520902,Kitchener,Glasgow St at 344 Glasgow St,,GRT,,,Active,12312,Glasgow St
Lobsinger Line,,43.51543736,-80.55759691,Woolwich,King St N at Lobsinger Line,,GRT,,,Active,12868,King St N
Baker St,,43.4375933,-80.55871511,Waterloo,University Ave W at Baker St,,GRT,,,Active,12943,University Ave W
Park St,,43.457445,-80.51604801,Kitchener,Union Blvd at Park St,,GRT,,,Active,12345,Union Blvd
580 Kumpf Dr,,43.50127827,-80.54289232,Waterloo,Kumpf Dr at 580 Kumpf Dr,,GRT,,,Active,13848,Kumpf Dr
Moore Ave,,43.46303003,-80.51190795,Waterloo,Union St E at Moore Ave,,GRT,,,Active,12301,Union St E
Columbia St W,,43.47956611,-80.53134677,Waterloo,Hazel St at Columbia St W,,GRT,,,Active,10176,Hazel St
Martin Grove Rd,,43.51027241,-80.54297415,Woolwich,King St N at Martin Grove Rd,,GRT,,,Active,12754,King St N
King St W,,43.45737,-80.513577,Kitchener,Mount Hope St at King St W,,GRT,,,Active,13792,Mount Hope St
Kumpf Dr,,43.497816,-80.544335,Waterloo,Northfield Dr W at Kumpf Dr,,GRT,,,Active,13788,Northfield Dr W
King St N,,43.501573,-80.534051,Waterloo,Northfield Dr W at King St N,,GRT,,,Active,10136,Northfield Dr W
